,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
88,combined,19,GAT,0.5682625022451414,0.037466885374499354,0.5770565193060996,0.03146936415864903
89,combined,19,TransformerConv,0.6108574422771144,0.03449646449256972,0.6113598209289312,0.03471938058409693
90,combined,21,GCN,0.5873786730691841,0.0020424232362020013,0.5923894795747062,0.0029206465250587368
91,combined,21,GAT,0.5540042983702452,0.03722782169835347,0.5686066032456633,0.028490801990329263
92,combined,21,TransformerConv,0.6111933067011404,0.030742820649753033,0.6135422495803022,0.027763799294920413
93,combined,23,GCN,0.5465618848977853,0.06999664662436252,0.5564073866815893,0.07479127634812874
94,combined,23,GAT,0.539581280941977,0.02285007401106118,0.5500279798545048,0.026499389173867672
95,combined,23,TransformerConv,0.5850533468388213,0.05544992039618243,0.5998321208729716,0.03344986632623739
96,combined,25,GCN,0.5873155154433581,0.000422575946543555,0.5948517067711248,0.0009195118480780791
97,combined,25,GAT,0.5494059010167482,0.03251828892787717,0.5584219362059317,0.030534419195087557
98,combined,25,TransformerConv,0.6030115004121301,0.04573216592001163,0.6058757694459989,0.047205787615619194
99,multirelational,5,GCN,0.5138645214124594,0.0329537376461039,0.525069949636262,0.028400089861243538
100,multirelational,5,GAT,0.5527515676882453,0.002555978657029311,0.5539451594851708,0.002715055281635857
101,multirelational,5,TransformerConv,0.5926362239825915,0.016190548272460994,0.6077224398433128,0.02202354050176738
102,multirelational,7,GCN,0.5177040559532822,0.031297481071446524,0.523670956911024,0.020549179303976425
103,multirelational,7,GAT,0.5124463915404014,0.02365230512475666,0.5186905428091775,0.023809787598733898
104,multirelational,7,TransformerConv,0.5627723566981697,0.056951113203511324,0.5719082260772244,0.060403315318483364
105,multirelational,9,GCN,0.5495746852167256,0.001286480903321397,0.550811415780638,0.0018098446143028938
106,multirelational,9,GAT,0.5861335544513704,0.037949450767048386,0.5883044208170117,0.03917283554461235
107,multirelational,9,TransformerConv,0.6021290727050784,0.05997777230169688,0.6120313374370453,0.06355865220840316
108,multirelational,11,GCN,0.5055134367623086,0.05568173301765304,0.5116955791829884,0.0482200627065672
109,multirelational,11,GAT,0.6166456409013261,0.027818691492560926,0.6207610520425293,0.029561666365818057
110,multirelational,11,TransformerConv,0.5765080020816533,0.06558500063547128,0.5958030218242865,0.055690061024132584
111,multirelational,13,GCN,0.5535985826704376,0.016780020916933223,0.559541130386122,0.009607159192072542
112,multirelational,13,GAT,0.5232526148331567,0.036570897841445855,0.534023503077784,0.03075880776967405
113,multirelational,13,TransformerConv,0.5850309927146985,0.0601460226314133,0.5909904868494683,0.06244271094382922
114,multirelational,15,GCN,0.5444250289154208,0.010426932174883335,0.5461667599328484,0.010092935064931684
115,multirelational,15,GAT,0.5952140106337367,0.05762250110550924,0.5993284834918857,0.0585713997169868
116,multirelational,15,TransformerConv,0.6328047912732805,0.015318491230542398,0.642081701175154,0.016146485311233416
117,multirelational,17,GCN,0.5496769434022291,0.012489622667515658,0.5499720201454953,0.012707413719803645
118,multirelational,17,GAT,0.5659776453804106,0.05979708518331698,0.5716284275321769,0.06207165344044047
119,multirelational,17,TransformerConv,0.640170488014316,0.013383261265024303,0.6514829322887521,0.01105200711178477
120,multirelational,19,GCN,0.5696075318638032,0.010912552604961247,0.5720201454952434,0.010293544719933989
121,multirelational,19,GAT,0.5494491748203002,0.06648335221747959,0.5579182988248462,0.06448175860341254
122,multirelational,19,TransformerConv,0.6126841188757938,0.06603624856651666,0.6265808617795188,0.05882416896887147
123,multirelational,21,GCN,0.5389570767672203,0.052429398408461204,0.5476776720761052,0.05066829509170854
124,multirelational,21,GAT,0.6250149759917412,0.003838316377404247,0.6344711807498602,0.005496029767642605
125,multirelational,21,TransformerConv,0.6414862642883972,0.011445048683245836,0.6521544487968663,0.013207439761832963
126,multirelational,23,GCN,0.5522966344877235,0.052807723452973195,0.5570789031897034,0.05074252878143162
127,multirelational,23,GAT,0.6228542027681874,0.012254164163519692,0.6291550083939563,0.0160513672823271
128,multirelational,23,TransformerConv,0.6548296240660099,0.009023821823837702,0.6648013430330162,0.006431715954424008
129,multirelational,25,GCN,0.5320590692127216,0.08853785772619983,0.5756575265808618,0.021688701125134564
130,multirelational,25,GAT,0.6208453395193683,0.015187125009094454,0.6270844991606044,0.015721989546039695
131,multirelational,25,TransformerConv,0.6318343374140533,0.020764935561036316,0.6398433128147734,0.02204159101442599
