,Unnamed: 0,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
18,18.0,spatial,17,GCN,0.4721858278594274,0.0116898398838242,0.486793508673755,0.0315750643579814
19,19.0,spatial,17,GAT,0.5349798829285944,0.0374857491434906,0.5519306099608283,0.0313801771056445
20,20.0,spatial,17,TransformerConv,0.5469382809100451,0.0406680711976863,0.557134862898713,0.0338116137891276
21,21.0,spatial,19,GCN,0.4913216639706441,0.008856501231646,0.5287073307218803,0.033141945734353
22,22.0,spatial,19,GAT,0.5279803009585933,0.0320735330044435,0.5430889759373251,0.0330995884096123
23,23.0,spatial,19,TransformerConv,0.55494871567107,0.0195731249944661,0.5644655847789591,0.0142203739668885
24,24.0,spatial,21,GCN,0.4760995921560716,0.0189841119786475,0.514493564633464,0.045305389603802
25,25.0,spatial,21,GAT,0.5611402810978239,0.0169305746457085,0.5758254057078903,0.0170534860495359
26,26.0,spatial,21,TransformerConv,0.5532142717094224,0.0369023192816753,0.5590934527140459,0.0356728990140198
27,27.0,spatial,23,GCN,0.508521562699489,0.0079180911661415,0.5437604924454392,0.0103026672392748
28,28.0,spatial,23,GAT,0.5102767686973098,0.0280583746939164,0.5248461108002238,0.030071979129101
29,29.0,spatial,23,TransformerConv,0.5837922408563372,0.0244645388395873,0.5876329043088975,0.023724804838923
30,30.0,spatial,25,GCN,0.4684220280890568,0.0548874837785485,0.5360380526021264,0.0241363508148802
31,31.0,spatial,25,GAT,0.5549234979071465,0.0144905607334655,0.5688304420817012,0.0232451808456224
32,32.0,spatial,25,TransformerConv,0.581997561812163,0.0180394099558074,0.589759373251259,0.0188853861983151
33,33.0,temporal,5,GCN,0.5423662504493826,0.0039980202863131,0.5484051482932288,0.0035875367487016
34,34.0,temporal,5,GAT,0.5858402673128713,0.0213118455195035,0.5881365416899832,0.0209583865452202
35,35.0,temporal,5,TransformerConv,0.619911067570863,0.0053802326308954,0.6369893676552881,0.0072652858946245
36,36.0,temporal,7,GCN,0.5634775723685914,0.0016130821221037,0.56552881925014,0.0025113380718877
37,37.0,temporal,7,GAT,0.5808085132624414,0.0342826181504279,0.5824286513710129,0.0326205266995139
38,38.0,temporal,7,TransformerConv,0.6183903624803708,0.0090736616403447,0.6299944040290991,0.0089125389646611
39,39.0,temporal,9,GCN,0.5638688993318943,0.001897517678901,0.5653049804141019,0.0026342702397179
