,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
92,temporal,33,TransformerConv,0.6058197953165392,0.047738815436884616,0.6108373004760571,0.04812376466845974
93,temporal,35,RGCN,0.6261234471657121,0.011052093825220093,0.6366003920470458,0.011212574879576458
94,temporal,35,GAT,0.5551759437720492,0.023403652233058,0.5682721926631196,0.018098946834922004
95,temporal,35,TransformerConv,0.6121736609730968,0.03161326899071385,0.6225427051246151,0.029189241966419872
96,combined,5,RGCN,0.5700910743172548,0.016820546331250553,0.575189022682722,0.017109571963472563
97,combined,5,GAT,0.5646921093963664,0.005652785603381881,0.5714645757490899,0.00653631065590225
98,combined,5,TransformerConv,0.5864656930552844,0.026282384670829554,0.5890506860823299,0.024862584472340375
99,combined,7,RGCN,0.5817789909732206,0.016111021225971002,0.5834500140016802,0.015827845126738738
100,combined,7,GAT,0.5404768249786461,0.05733707804432456,0.5464015681881826,0.05546345306968488
101,combined,7,TransformerConv,0.6020348322852411,0.014403035065076265,0.6025483057966955,0.014364413728390686
102,combined,9,RGCN,0.5846643424693431,0.016067061115539922,0.5873424810977317,0.015468504726303635
103,combined,9,GAT,0.5220416478620623,0.08106559141095175,0.5739848781853824,0.01460157081750854
104,combined,9,TransformerConv,0.584030442030899,0.05854068680547265,0.5899187902548306,0.04773652280311031
105,combined,11,RGCN,0.6017252328030265,0.011592323224359331,0.6029683562027442,0.011339666806336022
106,combined,11,GAT,0.5351006747501269,0.0736058890021557,0.5621114533744049,0.04636971758818507
107,combined,11,TransformerConv,0.615310020567602,0.015783591558860853,0.617474096891627,0.014763375853963777
108,combined,13,RGCN,0.6051185405880908,0.015287382109989537,0.6068608232987958,0.014504253947805893
109,combined,13,GAT,0.5510537108128897,0.04558620593786733,0.5659199103892467,0.0421210849224297
110,combined,13,TransformerConv,0.5971610894536546,0.02834304370937746,0.6003080369644358,0.027122248456458133
111,combined,15,RGCN,0.6073369702082319,0.011234763032080531,0.6107812937552507,0.010249727222962338
112,combined,15,GAT,0.5742407082524654,0.013750959070021296,0.5848501820218426,0.007768850902258938
113,combined,15,TransformerConv,0.5908208963455295,0.04286503245810137,0.595267432091851,0.039073679921473856
114,combined,17,RGCN,0.6085233089536617,0.015023308112772185,0.6105292635116214,0.01415751975458538
115,combined,17,GAT,0.5486455565833983,0.06461507519016861,0.5788294595351442,0.017604739645418473
116,combined,17,TransformerConv,0.5950263783542278,0.06204151745051223,0.6000840100812097,0.052699831891143675
117,combined,19,RGCN,0.5998698399652055,0.017500683167632047,0.6035564267712126,0.015112503226537993
118,combined,19,GAT,0.5785649260256768,0.020413160582011765,0.5853822458695044,0.019909660594603727
119,combined,19,TransformerConv,0.5971558877202867,0.06076273640264345,0.6029683562027444,0.051586537649731284
120,combined,21,RGCN,0.6170210823120493,0.01588744787091882,0.6195743489218707,0.013859400317059914
121,combined,21,GAT,0.5367116127565758,0.09490520254025567,0.579473536824419,0.057545651936597296
